"Name","Slug","Nation","Class","Tier","Type","Hitpoints","Effective HP","Armor","Torpedo Protection","Main Battery","Range","Reload Time","Turret Turn Time","Gun Traverse","Sigma","HE Damage","HE Alpha Strike","HE DPM","Fires/Min","AP Damage","Overmatch","AP Alpha Strike","AP DPM","Secondary Range","Sec Battery","AA Max DPS","AA Max Range","Max Speed","Turning Circle","Rudder Shift","Surface Detect","Air Detect","Smoke Penalty","Torp Layout","Torp Range","Torp Damage","Torp Speed","Torp Reload","Torp Detect","Consumables","Mod Slot 1","Mod Slot 2","Mod Slot 3","Mod Slot 4"
"AL Richelieu","al-richelieu","France","Battleship","VII","Premium","57,300","81,366","18-430 mm","35%","380 mm 2x4","18.40 km","30.0 s","36.0 s","5.0°/s","1.80","5,800","46,400","92,800","1.96","11,000","26 mm","88,000","176,000","5.00 km","100 mm 6x2","462","5.00 km","32.0 kt","850 m","15.4 s","15.70 km","12.60 km","14.40 km","","","","","","","","","","",""
"AL Sov. Rossiya","al-sov-rossiya","U.S.S.R.","Battleship","VIII","Premium","88,100","88,100","19-495 mm","37%","306 mm 3x3","17.40 km","33.0 s","20.0 s","9.0°/s","1.70","5,800","52,200","94,909","1.80","13,250","21 mm","119,250","216,818","5.00 km","100 mm 4x2","187","5.00 km","28.0 kt","950 m","14.9 s","15.80 km","12.60 km","15.20 km","","","","","","","","","","",""
"AL Tallinn","al-tallinn","U.S.S.R.","Cruiser","VI","Premium","33,000","80,520","13-150mm","7%","180 mm 4x3","15.40 km","16.5 s","22.5 s","8.0°/s","2.00","2,500","30,000","109,200","2.74","4,400","12 mm","52,800","192,192","4.50 km","100 mm 6x2","396","5.00 km","33.0 kt","900 m","10.9 s","13.40 km","8.00 km","7.30 km","","","","","","","","","","",""
"AL Vittorio Veneto","al-vittorio-veneto","Italy","Battleship","VII","Premium","61,000","95,160","13-380mm","38%","381 mm 3x3","16.80 km","32.0 s","30.0 s","6.0°/s","1.70","5,400","48,600","91,368","1.72","11,000","26 mm","99,000","186,120","6.20 km","152 mm 4x3","367","4.00 km","30.0 kt","810 m","15.5 s","15.20 km","12.20 km","10.50 km","","","","","","","","","","",""
"AL Yukikaze","al-yukikaze","Japan","Destroyer","VI","Premium","15,100","15,100","6-20 mm","0%","127 mm 3x2","10.40 km","6.0 s","20.2 s","8.9°/s","2.00","2,150","12,900","129,000","4.32","2,200","8 mm","13,200","132,000","","","36","3.10 km","36.0 kt","640 m","2.7 s","6.30 km","3.30 km","2.50 km","","","","","","","","","","",""
"AL Z24","al-z24","Germany","Destroyer","VII","Premium","19,500","19,500","6-30mm","0%","150 mm 3x1","10.60 km","6.2 s","22.5 s","8.0°/s","2.00","1,900","9,500","91,960","4.57","3,700","10 mm","18,500","179,080","","","191","3.50 km","37.0 kt","680 m","4.5 s","6.80 km","3.40 km","2.50 km","","","","","","","","","","",""
"AL Zara","al-zara","Italy","Cruiser","VI","Premium","33,500","33,500","13-150 mm","19%","203 mm 4x2","14.00 km","14.5 s","25.7 s","7.0°/s","2.00","2,850","22,800","94,345","3.01","4,400","14 mm","35,200","145,655","4.50 km","100 mm 6x2","147","4.00 km","32.0 kt","580 m","9.8 s","10.90 km","6.50 km","6.00 km","","","","","","","","","","",""
"Alabama","alabama","U.S.A.","Battleship","VII","Premium","63,300","89,886","6-457 mm","49%","406 mm 3x3","17.20 km","30.0 s","40.0 s","4.5°/s","1.90","5,700","51,300","102,600","1.96","13,100","28 mm","117,900","235,800","5.00 km","127 mm 10x2","529","5.00 km","27.5 kt","710 m","15.3 s","15.40 km","12.30 km","14.90 km","","","","","","","","","","",""
"Alabama Black","alabama-black","U.S.A.","Battleship","VII","Premium","63,300","89,886","6-457 mm","49%","406 mm 3x3","17.20 km","30.0 s","40.0 s","4.5°/s","1.90","5,700","51,300","102,600","1.96","13,100","28 mm","117,900","235,800","5.00 km","127 mm 10x2","529","5.00 km","27.5 kt","710 m","15.3 s","15.40 km","12.30 km","14.90 km","","","","","","","","","","",""
"Alaska","alaska","U.S.A.","Cruiser","★","Premium","60,800","101,657","16-330 mm","13%","305 mm 3x3","16.20 km","20.0 s","30.0 s","6.0°/s","2.05","4,300","38,700","116,100","2.82","8,900","21 mm","80,100","240,300","5.00 km","127 mm 6x2","436","5.00 km","33.0 kt","850 m","13.0 s","13.30 km","8.00 km","10.20 km","","","","","","","","","","",""
"Alaska B","alaska-b","U.S.A.","Cruiser","★","Premium","60,800","101,657","16-330 mm","13%","305 mm 3x3","16.20 km","20.0 s","30.0 s","6.0°/s","2.05","4,300","38,700","116,100","2.82","8,900","21 mm","80,100","240,300","5.00 km","127 mm 6x2","436","5.00 km","33.0 kt","850 m","13.0 s","13.30 km","8.00 km","10.20 km","","","","","","","","","","",""
"Albany","albany","U.S.A.","Cruiser","I","Tech Tree","11,500","11,500","6-76 mm","0%","152 mm 6x1","9.50 km","7.0 s","18.0 s","10.0°/s","2.00","2,100","8,400","72,000","2.16","","","","","","","10","2.00 km","20.0 kt","350 m","7.0 s","8.30 km","5.00 km","3.60 km","","","","","","","","","","",""
"Albemarle","albemarle","U.K.","Cruiser","VII","Tech Tree","47,000","84,600","16-152 mm","19%","203 mm 3x3","15.50 km","12.5 s","20.0 s","9.0°/s","2.00","3,300","29,700","142,560","3.90","4,500","14 mm","40,500","194,400","5.00 km","114 mm 6x2","272","5.00 km","33.0 kt","720 m","10.7 s","12.10 km","7.20 km","6.80 km","","","","","","","","","","",""
"Algerie","algerie","France","Cruiser","VI","Tech Tree","35,600","35,600","6-110 mm","16%","203 mm 4x2","14.30 km","12.0 s","25.7 s","7.0°/s","2.00","2,950","23,600","118,000","3.64","5,050","14 mm","40,400","202,000","5.00 km","100 mm 6x2","123","5.00 km","32.5 kt","660 m","8.5 s","13.00 km","7.80 km","7.50 km","","","","","","","","","","",""
"Algérie W","algerie-w","France","Cruiser","VI","Premium","35,600","35,600","6-110 mm","16%","203 mm 4x2","14.30 km","12.0 s","25.7 s","7.0°/s","2.00","2,950","23,600","118,000","3.64","5,050","14 mm","40,400","202,000","5.00 km","100 mm 6x2","123","5.00 km","32.5 kt","660 m","8.5 s","13.00 km","7.80 km","7.50 km","","","","","","","","","","",""
"Almirante Cervera","almirante-cervera","Spain","Cruiser","III","Tech Tree","26,500","26,500","10-100mm","","152 mm 3x2","13.10 km","10.5 s","15.0 s","12.0°/s","2.15","1,750","14,000","80,000","2.78","2,500","10 mm","20,000","114,286","4.00 km","105 mm 4x1","67","4.50 km","33.0 kt","680 m","7.7 s","9.80 km","5.90 km","4.30 km","","","","","","","","","","",""
"Alsace","alsace","France","Battleship","VIII","Tech Tree","74,700","106,074","19-430 mm","44%","380 mm 3x4","17.50 km","32.0 s","36.0 s","5.0°/s","1.80","5,400","64,800","121,500","1.87","11,900","26 mm","142,800","267,750","6.00 km","100 mm 12x2","308","5.00 km","32.0 kt","910 m","16.6 s","15.30 km","12.70 km","13.90 km","","","","","","","","","","",""
"Amagi","amagi","Japan","Battleship","VII","Tech Tree","62,800","89,176","6-458 mm","43%","410 mm 5x2","17.20 km","27.0 s","45.0 s","4.0°/s","1.80","6,500","65,000","144,444","2.16","12,100","28 mm","121,000","268,889","5.00 km","127 mm 8x2","216","5.00 km","30.0 kt","870 m","18.1 s","15.60 km","12.50 km","15.10 km","","","","","","","","","","",""
"Amalfi","amalfi","Italy","Cruiser","VII","Tech Tree","42,800","54,784","16-150 mm","19%","203 mm 3x3","15.40 km","14.5 s","25.7 s","7.0°/s","2.00","3,100","27,900","115,448","3.18","5,100","14 mm","45,900","189,931","5.00 km","90 mm 12x1","225","4.00 km","37.0 kt","680 m","11.0 s","11.40 km","6.80 km","6.30 km","","","","","","","","","","",""
"Anchorage","anchorage","U.S.A.","Cruiser","VII","Premium","41,800","53,504","6-206 mm","16%","203 mm 4x3","15.60 km","14.5 s","25.7 s","7.0°/s","2.00","2,800","33,600","139,034","3.46","4,600","14 mm","55,200","228,414","5.00 km","127 mm 4x1","215","5.00 km","33.0 kt","800 m","11.2 s","12.80 km","7.70 km","6.50 km","","","","","","","","","","",""
"Andalucía","andalucia","Spain","Cruiser","VIII","Tech Tree","48,300","64,528","13-229mm","16%","234 mm 3x3","15.60 km","26.0 s","25.7 s","7.0°/s","2.15","3,500","31,500","72,692","1.83","5,900","16 mm","53,100","122,538","5.00 km","128 mm 6x2","415","5.20 km","36.0 kt","800 m","11.3 s","13.30 km","8.00 km","8.40 km","","","","","","","","","","",""
"Andrea Doria","andrea-doria","Italy","Battleship","V","Tech Tree","42,400","66,144","12-280 mm","20%","320 mm 2x2","15.50 km","27.0 s","36.0 s","5.0°/s","1.60","4,700","47,000","104,444","2.19","9,500","22 mm","95,000","211,111","4.50 km","90 mm 10x1","208","4.00 km","27.0 kt","640 m","13.0 s","14.10 km","11.30 km","8.40 km","","","","","","","","","","",""
"Anhalt","anhalt","Germany","Battleship","VII","Premium","69,500","98,690","16-350 mm","20%","350 mm 5x3","17.30 km","30.0 s","45.0 s","4.0°/s","2.00","4,000","60,000","120,000","1.98","9,500","24 mm","142,500","285,000","6.80 km","105 mm 6x2","342","4.50 km","26.5 kt","900 m","16.0 s","15.30 km","12.20 km","13.10 km","","","","","","","","","","",""
"Anshan","anshan","Pan","Destroyer","V","Premium","14,400","14,400","10-19 mm","0%","130 mm 4x1","10.70 km","3.5 s","30.0 s","6.0°/s","2.00","1,900","7,600","130,286","4.32","2,500","9 mm","10,000","171,429","","","37","3.50 km","38.0 kt","610 m","4.4 s","6.40 km","3.20 km","2.50 km","","","","","","","","","","",""
"Aoba","aoba","Japan","Cruiser","V","Tech Tree","31,900","31,900","6-105 mm","4%","203 mm 3x2","14.40 km","10.5 s","30.0 s","6.0°/s","2.00","3,300","19,800","113,143","3.85","4,700","14 mm","28,200","161,143","4.50 km","120 mm 4x1","83","4.50 km","35.0 kt","710 m","6.5 s","11.40 km","6.80 km","6.30 km","","","","","","","","","","",""
"Arizona","arizona","U.S.A.","Battleship","V","Premium","57,200","81,224","13-457 mm","37%","356 mm 4x3","15.40 km","35.0 s","60.0 s","3.0°/s","1.80","5,000","60,000","102,857","1.69","10,300","24 mm","123,600","211,886","4.00 km","127 mm 8x1","115","4.20 km","21.0 kt","640 m","14.6 s","13.60 km","11.40 km","12.30 km","","","","","","","","","","",""
"Ark Royal","ark-royal","U.K.","Aircraft Carrier","V","Premium","44,500","44,500","10-114 mm","25%","","","","","","","","","","","","","","","4.50 km","113 mm 8x2","207","5.00 km","31.0 kt","990 m","12.8 s","13.10 km","9.10 km","2.00 km","","","","","","","","","","",""
"Arkansas","arkansas","U.S.A.","Battleship","III","Premium","43,800","62,196","13-305 mm","13%","305 mm 6x2","13.20 km","30.0 s","45.0 s","4.0°/s","1.50","4,200","50,400","100,800","1.90","8,300","21 mm","99,600","199,200","4.50 km","127 mm 21x1","","","20.5 kt","590 m","17.7 s","12.00 km","10.00 km","9.50 km","","","","","","","","","","",""
"Arkansas FE","arkansas-fe","U.S.A.","Battleship","III","Premium","43,800","62,196","13-305 mm","13%","305 mm 6x2","13.20 km","30.0 s","45.0 s","4.0°/s","1.50","4,200","50,400","100,800","1.90","8,300","21 mm","99,600","199,200","4.50 km","127 mm 21x1","","","20.5 kt","590 m","17.7 s","12.00 km","10.00 km","9.50 km","","","","","","","","","","",""
"ARP Haguro","arp-haguro","Japan","Cruiser","VI","Premium","39,200","39,200","6-102 mm","13%","203 mm 5x2","15.60 km","14.5 s","45.0 s","4.0°/s","2.00","3,600","36,000","148,966","3.50","4,600","14 mm","46,000","190,345","4.50 km","127 mm 4x2","150","5.00 km","35.0 kt","780 m","7.1 s","13.00 km","7.20 km","7.50 km","","","","","","","","","","",""
"ARP Haruna","arp-haruna","Japan","Battleship","I","Premium","54,100","76,822","6-254 mm","25%","356 mm 4x2","15.30 km","30.0 s","54.5 s","3.3°/s","1.80","5,700","45,600","91,200","1.80","10,000","24 mm","80,000","160,000","4.60 km","127 mm 4x2","94","5.00 km","30.0 kt","770 m","14.9 s","13.00 km","10.90 km","11.80 km","","","","","","","","","","",""
"ARP Kirishima","arp-kirishima","Japan","Battleship","I","Premium","54,100","76,822","6-254 mm","25%","356 mm 4x2","15.30 km","30.0 s","54.5 s","3.3°/s","1.80","5,700","45,600","91,200","1.80","10,000","24 mm","80,000","160,000","4.00 km","127 mm 4x2","78","3.50 km","30.0 kt","770 m","14.9 s","13.60 km","10.90 km","11.80 km","","","","","","","","","","",""
"ARP Musashi","arp-musashi","Japan","Battleship","VIII","Premium","85,000","108,800","16-650 mm","55%","460 mm 3x3","17.20 km","30.0 s","45.0 s","4.0°/s","1.80","7,300","65,700","131,400","1.96","14,800","32 mm","133,200","266,400","5.00 km","127 mm 6x2","141","5.00 km","27.0 kt","900 m","18.7 s","16.10 km","12.90 km","16.00 km","","","","","","","","","","",""
"ARP Nachi","arp-nachi","Japan","Cruiser","VI","Premium","36,200","46,336","6-102 mm","13%","203 mm 5x2","13.80 km","12.0 s","45.0 s","4.0°/s","2.00","2,500","25,000","125,000","3.26","5,150","14 mm","51,500","257,500","4.50 km","127 mm 4x2","151","5.00 km","35.0 kt","780 m","7.1 s","11.00 km","7.20 km","6.10 km","","","","","","","","","","",""
"Asashio","asashio","Japan","Destroyer","VI","Premium","15,100","15,100","13-20 mm","0%","127 mm 3x2","10.40 km","8.0 s","30.0 s","6.0°/s","2.00","1,800","10,800","81,000","2.65","2,200","8 mm","13,200","99,000","","","10","3.10 km","35.0 kt","640 m","3.6 s","6.30 km","3.30 km","2.50 km","","","","","","","","","","",""
"Asashio B","asashio-b","Japan","Destroyer","VI","Premium","15,100","15,100","13-20 mm","0%","127 mm 3x2","10.40 km","8.0 s","30.0 s","6.0°/s","2.00","1,800","10,800","81,000","2.65","2,200","8 mm","13,200","99,000","","","10","3.10 km","35.0 kt","640 m","3.6 s","6.30 km","3.30 km","2.50 km","","","","","","","","","","",""
"Ashitaka","ashitaka","Japan","Battleship","VI","Premium","59,400","84,348","6-330 mm","25%","410 mm 5x2","16.20 km","31.0 s","45.0 s","4.0°/s","1.80","6,500","65,000","125,806","1.88","12,400","28 mm","124,000","240,000","5.00 km","120 mm 4x1","85","4.50 km","30.0 kt","870 m","14.9 s","14.20 km","11.90 km","14.50 km","","","","","","","","","","",""
"Asturias","asturias","Spain","Cruiser","VI","Tech Tree","39,600","52,905","13-150mm","4%","203 mm 4x2","15.00 km","24.0 s","25.7 s","7.0°/s","2.15","3,100","24,800","62,000","1.82","5,100","14 mm","40,800","102,000","5.00 km","105 mm 4x2","152","4.50 km","35.0 kt","860 m","10.2 s","12.80 km","7.70 km","7.30 km","","","","","","","","","","",""
"Atago","atago","Japan","Cruiser","VII","Premium","40,100","53,573","6-127 mm","16%","203 mm 5x2","14.70 km","14.0 s","25.7 s","7.0°/s","2.00","3,500","35,000","150,000","3.62","4,700","14 mm","47,000","201,429","5.00 km","127 mm 4x2","90","5.00 km","35.5 kt","790 m","8.1 s","11.70 km","7.40 km","6.90 km","","","","","","","","","","",""
"Atago B","atago-b","Japan","Cruiser","VII","Premium","40,100","53,573","6-127 mm","16%","203 mm 5x2","14.70 km","14.0 s","25.7 s","7.0°/s","2.00","3,500","35,000","150,000","3.62","4,700","14 mm","47,000","201,429","5.00 km","127 mm 4x2","90","5.00 km","35.5 kt","790 m","8.1 s","11.70 km","7.40 km","6.90 km","","","","","","","","","","",""
"Atlanta","atlanta","U.S.A.","Cruiser","VI","Premium","27,500","27,500","6-89 mm","0%","127 mm 8x2","12.10 km","5.0 s","7.2 s","25.0°/s","1.70","1,800","25,200","302,400","6.15","2,100","8 mm","29,400","352,800","","","177","5.00 km","32.5 kt","610 m","8.4 s","12.00 km","7.20 km","5.20 km","","","","","","","","","","",""
"Atlanta B","atlanta-b","U.S.A.","Cruiser","VI","Premium","27,500","27,500","6-89 mm","0%","127 mm 8x2","12.10 km","5.0 s","7.2 s","25.0°/s","1.70","1,800","25,200","302,400","6.15","2,100","8 mm","29,400","352,800","","","177","5.00 km","32.5 kt","610 m","8.4 s","12.00 km","7.20 km","5.20 km","","","","","","","","","","",""
"Atlântico","atlantico","Pan","Battleship","VII","Premium","60,100","85,342","19-356 mm","31%","381 mm 5x2","16.40 km","30.0 s","30.0 s","6.0°/s","1.80","","","","","10,700","26 mm","107,000","214,000","7.50 km","127 mm 10x1","450","5.00 km","25.0 kt","800 m","15.0 s","14.90 km","12.00 km","13.70 km","","","","","","","","","","",""
"August von Parseval","august-von-parseval","Germany","Aircraft Carrier","VII","Tech Tree","51,400","51,400","9-100 mm","0%","","","","","","","","","","","","","","","4.50 km","105 mm 6x2","327","4.50 km","31.8 kt","1140 m","13.0 s","13.90 km","9.70 km","2.00 km","","","","","","","","","","",""
"Aurora","aurora","U.S.S.R.","Cruiser","II","Premium","22,500","22,500","6-152 mm","0%","152 mm 14x1","11.30 km","8.6 s","36.0 s","5.0°/s","2.00","2,100","16,800","117,209","3.40","2,700","10 mm","21,600","150,698","","","9","3.00 km","19.0 kt","400 m","6.4 s","9.50 km","6.00 km","4.40 km","","","","","","","","","","",""
"Aurora B","aurora-b","U.S.S.R.","Cruiser","II","Premium","22,500","22,500","6-152 mm","0%","152 mm 14x1","11.30 km","8.6 s","36.0 s","5.0°/s","2.00","2,100","16,800","117,209","3.40","2,700","10 mm","21,600","150,698","","","9","3.00 km","19.0 kt","400 m","6.4 s","9.50 km","6.00 km","4.40 km","","","","","","","","","","",""
"Aviere","aviere","Italy","Destroyer","V","Tech Tree","14,300","14,300","6-16 mm","0%","120 mm 2x2","10.30 km","6.8 s","12.9 s","14.0°/s","2.00","1,700","8,500","75,000","2.69","2,600","","","","","","31","2.00 km","38.0 kt","570 m","3.6 s","7.10 km","3.40 km","2.40 km","","","","","","","","","","",""
"Azuma","azuma","Japan","Cruiser","VII","Premium","52,500","78,960","13-305 mm","22%","310 mm 3x3","15.80 km","24.0 s","36.0 s","5.0°/s","2.00","5,100","45,900","114,750","2.35","8,650","21 mm","77,850","194,625","5.00 km","100 mm 8x2","342","5.00 km","34.0 kt","920 m","12.3 s","12.70 km","7.60 km","9.70 km","","","","","","","","","","",""
