"Commander","Nation","Class","Base Trait Name","Base Trait Effects","Row1_Col1_Name","Row1_Col1_Effects","Row1_Col2_Name","Row1_Col2_Effects","Row1_Col3_Name","Row1_Col3_Effects","Row2_Col1_Name","Row2_Col1_Effects","Row2_Col2_Name","Row2_Col2_Effects","Row2_Col3_Name","Row2_Col3_Effects","Row3_Col1_Name","Row3_Col1_Effects","Row3_Col2_Name","Row3_Col2_Effects","Row3_Col3_Name","Row3_Col3_Effects","Row4_Col1_Name","Row4_Col1_Effects","Row4_Col2_Name","Row4_Col2_Effects","Row4_Col3_Name","Row4_Col3_Effects","Row5_Col1_Name","Row5_Col1_Effects","Row5_Col2_Name","Row5_Col2_Effects","Row5_Col3_Name","Row5_Col3_Effects"
"Arleigh Burke","usa","Destroyer","Sureshot","+5.0% Shell grouping of destroyer's main guns","Contact Is Imminent","+500.0% Torpedo speed","Quick Fix","-8.0% Incoming splash damage","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Flank Speed","+7.0% Maximum destroyer speed (destroyer) | +5.0% Rudder shift time [PENALTY]","","","Back in Stock","-8.0% Torpedo launchers reload time","Glass Cannon","+12.0% Shell grouping of destroyer's main guns (destroyer) | -5.0% Dispersion of main battery | -5.0% Maximum HP [PENALTY] | +6.0% Destroyer main battery range (destroyer)","A Thousand Cuts","-8.0% Reload time of destroyer's main guns (destroyer) | -8.0% Reload time of secondary battery","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Sidestep","+12.0% Range of destroyer's main guns (destroyer) | +5.0% Incoming fire dispersion | +10.0% Rudder shift time [PENALTY]","","","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Rather be Torching","+4.0% Chance of a fire being caused by the destroyer's HE shells (destroyer) | -7.0% Destroyer's main gun HE shells damage (destroyer) [PENALTY] | -30.0% Destroyer's detectability time after firing main guns (destroyer)","",""
"Arpeggio Haguro","japan","Cruiser","The Deck Is On Fire","+1.0% Chances of cruiser HE shells causing fire | +3.0% Cruiser main battery range","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","","","Velocious","+5.0% Maximum movement speed","Hellfire","+6.0% Armor penetration of HE shells for your cruiser (cruiser) | +7.0% Cruiser's main gun HE shells damage (cruiser)","Fortified","-4.0% Incoming damage | +3.0% Maximum HP","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","",""
"Arpeggio Haruna","japan","Battleship","Overwhelm","+5.0% Range of secondary guns | -15.0% Dispersion of secondary battery","A Good Day's Work","-8.0% Damage Control Party reload time","Brawler","-10.0% Reload time of battleship's main guns (battleship) | +15.0% Torpedo detectability range | -10.0% Range of battleships main guns (battleship) [PENALTY]","Floating Fortress","-6.0% Torpedo damage to your ship | -6.0% Incoming damage to your citadel","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Porcupine","+12.0% Range of secondary guns | +15.0% Shell grouping of secondary battery | -18.0% Dispersion of secondary battery","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","","","Reaching Out XXL","+8.0% Range of main guns","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Running with Scissors","-10.0% Rudder shift time | +160.0% Traverse speed of battleship's guns (battleship) | +3.0% Dispersion of main battery [PENALTY] | +15.0% Battleship's main gun damage (battleship) @L8","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Arpeggio Iona","japan","Aircraft Carrier","No Time To Explain","-5.0% Aircraft restoration time","A Good Day's Work","-8.0% Damage Control Party reload time","Swatting at Flies","+20.0% Your aircraft carrier's average AA damage per second (aircraft carrier) | +5.0% Increase destroyer SAP shell damage (destroyer)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Dark Silhouette","-12.0% Detectability of Aircraft Carriers (aircraft carrier)","One-Way Ticket","+4.0% Torpedo Damage","Sorry Not Sorry","+4.0% Aircraft carrier's HE bombs damage (aircraft carrier) | +4.0% Airspeed of dive bombers","On Alert","-4.5% Rudder shift time | -15.0% Damage Control Party cooldown time","Out of Sight","-8.0% Detectability of dive bombers | +16.0% Dive bombers HP","Hidden Threat","-8.0% Detectability of torpedo bombers | +16.0% Torpedo bombers HP","Look at Me Now","-6.0% Sea detectability range","Burn, Baby, Burn!","+8.0% Chance of a fire being caused by the aircraft carrier's HE bombs (aircraft carrier) | +4.0% Aircraft carrier's HE bombs damage (aircraft carrier)","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","We Are Legion","+8.0% Airspeed of torpedo bombers | -20.0% Incoming damage to your aircraft carrier (aircraft carrier) @L7.5","",""
"Arpeggio Kirishima","japan","Battleship","Vanishing Act","-10.0% Battleship's detectability time after firing main guns","A Good Day's Work","-8.0% Damage Control Party reload time","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","Sky Control","+10.0% Your battleship's average AA damage per second (battleship) | -24.0% Catapult Fighter reload time","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","","","Reaching Out XXL","+8.0% Range of main guns","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Arpeggio Musashi","japan","Battleship","Watching You","-8.0% Main battery shell dispersion while Spotter is active","A Good Day's Work","-8.0% Damage Control Party reload time","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","","","Reaching Out XXL","+8.0% Range of main guns","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Gun Layer","-25.0% Battleship's AP shell fuse time (longer time leads to lower chances of a citadel hit) (battleship) | +25.0% Spotter duration","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Arpeggio Nachi","japan","Cruiser","Faster Than Light","+2.0% Maximum cruiser speed | -3.0% Rudder-shift time","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","","","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","Before It's Too Late","+15.0% Torpedo detectability range","","","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","Deadly Assault","+500.0% Minimum ricochet angle of your cruiser's AP shells (cruiser) | +500.0% Guaranteed ricochet angle of your cruiser's AP shells (cruise) | +5.0% Cruiser's main fun AP shells damage (cruiser) | +5.0% Cruiser's AP shells penetration multiplier (cruiser)","Fortified","-4.0% Incoming damage | +3.0% Maximum HP","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5"
"Arpeggio Takao","japan","Cruiser","Toss and Turn","+5.0% Your cruiser's average AA damage per second | -3.0% Rudder shift time","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","Seer","+150.0% Traverse speed of cruiser's guns (cruiser) | +5.0% Torpedo detectability range","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","","","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","",""
"Arpeggio Yamato","japan","Battleship","Blink Of An Eye","+0.75 º/s Battleship gun traverse speed | -2.0% Main battery dispersion","A Good Day's Work","-8.0% Damage Control Party reload time","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","","","Reaching Out XXL","+8.0% Range of main guns","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Long Arm of Justice","+2.0% Battleship main battery range (battleship) | +3.0% Main battery shells that travel over 10 km deal extra damage","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Arthas The Cold","japan","Battleship","Blind Rage","+20.0% Damage your battleship causes while Catapult Fighter is up | +20.0% Damage your cruiser causes while Catapult Fighter is up | -35.0% Catapult Fighter duration","A Good Day's Work","-8.0% Damage Control Party reload time","Brawler","-10.0% Reload time of battleship's main guns (battleship) | +15.0% Torpedo detectability range | -10.0% Range of battleships main guns (battleship) [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Porcupine","+12.0% Range of secondary guns | +15.0% Shell grouping of secondary battery | -18.0% Dispersion of secondary battery","Avatars of Slaughter","+13.0% Ship's shell damage | -25.0% Incoming damage to your citadel | +25.0% Damage to your ship's extremities [PENALTY]","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","","","Reaching Out XXL","+8.0% Range of main guns","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Running with Scissors","-10.0% Rudder shift time | +160.0% Traverse speed of battleship's guns (battleship) | +3.0% Dispersion of main battery [PENALTY] | +15.0% Battleship's main gun damage (battleship) @L8","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Augustin Riegerwald","germany","Cruiser","Merciless","-3.0% Reload time of cruiser's main guns | +3.0% Cruiser's main gun AP shell damage","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Before It's Too Late","+15.0% Torpedo detectability range","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","Kraken Shells","+5.0% Maximum cruiser speed (cruiser) | +10.0% Crusier's AP shell penetration multiplier (cruiser)","Velocious","+5.0% Maximum movement speed","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","Fortified","-4.0% Incoming damage | +3.0% Maximum HP","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","",""
"Blue Furiora","germany","Destroyer","Ridin' on the Wind","+5.0% Maximum destroyer speed","Contact Is Imminent","+500.0% Torpedo speed","Subsurface Venture","-12.0% Torpedo launchers reload time | +400.0% Torpedo speed | +10.0% Reload time of destroyer's main guns (destroyer) [PENALTY]","Mosquito Brutes","-15000.0% Detectability of your torpedoes | -30.0% Torpedo launchers reload time | -40.0% Torpedo damage [PENALTY]","Look at Me Now","-6.0% Sea detectability range","Fragile Threat","-8.0% Detectability of destroyers (destroyer) | -10.0% Maximum HP [PENALTY]","","","Back in Stock","-8.0% Torpedo launchers reload time","Torpedo Safari","+16.0% Torpedo range | -7.0% Range of destroyer's main guns (destroyer) [PENALTY]","On Alert","-4.5% Rudder shift time | -15.0% Damage Control Party cooldown time","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Destroy or be Destroyed","+7.0% Maximum destroyer speed (destroyer) | -10.0% Shell grouping of destroyer's main guns (destroyer) [PENALTY]","","","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Give me Speed","-20.0% Engine boost reload time | +20.0% Engine boost duration | +200.0% Engine Boost Charges | +10.0% Maximum destroyer speed (destroyer) @L7.5","",""
"Borg Queen","japan","Battleship","Galactic Power","+2.0% Battleship's main gun AP shells damage | -4.0% Battleship AP shell reload time","A Good Day's Work","-8.0% Damage Control Party reload time","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Reaching Out XXL","+8.0% Range of main guns","High-Octane Warrior","+5.0% Maximum battleship speed (battleship) | +10.0% Battleship projectile damage if previous main battery shot was AP (battleship)","","","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires","",""
"Bruce Fraser","uk","Cruiser","Make Haste","+3.0% Maximum movement speed","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","Piercer","+4.0% Penetration multiplier","Before It's Too Late","+15.0% Torpedo detectability range","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","Homerun","+10.0% Torpedo range","Velocious","+5.0% Maximum movement speed","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","Light Fortress","-8.0% Incoming damage for cruisers (cruiser)","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","",""
"Bumblebee","usa","Destroyer","Overboost","+20.0% Engine Boost duration","Contact Is Imminent","+500.0% Torpedo speed","Observant Rage","-5.0% Reload time of destroyer's main guns (destroyer) | +12.0% Torpedo detectability range | +10.0% Rudder shift time [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Mortar","+13.0% Destroyer's main gun AP shells damage (destroyer) | +13.0% Destroyers main gun HE shells damage (destroyer) | +4.0% Detectability of destroyers (destroyer)","","","Back in Stock","-8.0% Torpedo launchers reload time","Twist n' Track","+150.0% Traverse speed of destroyer's guns (destroyer)","A Thousand Cuts","-8.0% Reload time of destroyer's main guns (destroyer) | -8.0% Reload time of secondary battery","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Cloudy Daze","-20.0% Engine Boost reload time | -12.5% Smoke screen dispersion time [PENALTY] | -12.5% Smoke screen deployment time [PENALTY] | +10.0% Engine Boost duration","Calculated Inversion","-70.0% Rudder shift time while smoke screen is working | +70.0% Engine power while smoke screen is working | -30.0% Smoke screen dispersion time [PENALTY]","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Leviathan","+10.0% Maximum HP | -12.0% Maximum movement speed [PENALTY] | -20.0% Rudder shift time @L7.5 | -10.0% Incoming damage to your destroyer (destroyer)","",""
"Captain Janeway","usa","Cruiser","Starship Captain","+4.0% Damage against battleships | +4.0% Damage against cruisers | +4.0% Cruiser main battery shell grouping when shooting at destroyers","Piercer","+4.0% Penetration multiplier","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Before It's Too Late","+15.0% Torpedo detectability range","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","","","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","","","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","Precision Strike","+8.0% Cruiser shell grouping against enemies with more than 50% HP (cruiser) | +8.0% Cruiser AP damage against enemies with HP less than or equal to 50% (cruiser)","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","",""
"Carlo Bergamini","italy","Destroyer","Per l'onore d'Italia","-0.3% Incoming damage from shells, torpedoes, and bombs to your destroyer per 1% HP lost","Contact Is Imminent","+500.0% Torpedo speed","Subsurface Venture","-12.0% Torpedo launchers reload time | +400.0% Torpedo speed | +10.0% Reload time of destroyer's main guns (destroyer) [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Fragile Threat","-8.0% Detectability of destroyers (destroyer) | -10.0% Maximum HP [PENALTY]","","","Back in Stock","-8.0% Torpedo launchers reload time","Torpedo Safari","+16.0% Torpedo range | -7.0% Range of destroyer's main guns (destroyer) [PENALTY]","Stand or Fall","-0.2% Reload time reduction per 1% HP lost","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Destroy or be Destroyed","+7.0% Maximum destroyer speed (destroyer) | -10.0% Shell grouping of destroyer's main guns (destroyer) [PENALTY]","Talented","+0.1% Torpedo damage per 1% HP lost | +4.0% Destroyer torpedo damage while inside a smoke screen (destroyer)","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Give me Speed","-20.0% Engine boost reload time | +20.0% Engine boost duration | +200.0% Engine Boost Charges | +10.0% Maximum destroyer speed (destroyer) @L7.5","",""
"Casto Méndez Núñez","spain","Hybrid","Honor Before Ships","-3.0% Sea detectability range | +3.0% Maximum movement speed","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Contact Is Imminent","+500.0% Torpedo speed","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Before It's Too Late","+15.0% Torpedo detectability range","Look at Me Now","-6.0% Sea detectability range","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Back in Stock","-8.0% Torpedo launchers reload time","Velocious","+5.0% Maximum movement speed","Reaching Out XXL","+8.0% Range of main guns","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5"
"Chancellor Gowron","uk","Cruiser","You're Welcome To Try","-12.0% Incoming damage from proejcts to your cruiser while her secondary battery is aiming or shooting","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","Fortified","-4.0% Incoming damage | +3.0% Maximum HP","Piercer","+4.0% Penetration multiplier","Before It's Too Late","+15.0% Torpedo detectability range","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","","","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","","","Intuitive","+5.0% Sonar duration | +5.0% Surveillance Radar duration","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","Sword of Kahless","+10.0% Main battery shells that travel less than 7 km deal extra damage","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5"
